name	team	birthday	age	club_name	club_country_code	caps	height	weight	position	matches	minutes	goals	assists	pa	pc	pc_perc	on_target	off_target	blocked	against_woodwork	fouls	suffered	yellow	red	longer_club_name	lat	lng	uefa_club_name	uefa_11_12	uefa_12_13	uefa_13_14	uefa_14_15	uefa_15_16	uefa_pts
Heinz Lindner	Austria	17/07/1990	25	Frankfurt	GER	8	187	80	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Eintracht Frankfurt	50.115519157000506	8.684168824000437	Eintracht Frankfurt	3.050	3.585	14.942	3.171	3.171	3.171
Florian Klein	Austria	17/11/1986	29	Stuttgart	GER	39	180	66	Defender	3	None	None	None	None	None	None	0	0	0	0	4	5	0	0	VfB Stuttgart	48.7932328	9.1829321	VfB Stuttgart	3.050	12.585	4.442	3.171	3.171	3.171
Danilo	Portugal	09/09/1991	24	Porto	POR	13	188	83	Midfield	3	None	None	None	None	None	None	0	0	1	0	2	0	0	0	FC Porto	41.159082	-8.608525658999554	FC Porto	12.366	22.350	17.983	26.816	26.816	26.816
Yunus Mallı	Turkey	24/02/1992	24	Mainz	GER	7	179	70	Midfield	1	None	None	None	None	None	None	0	1	0	0	None	None	None	None	1. FSV Mainz 05	49.9935994	8.2472526	1. FSV Mainz 05	4.050	3.585	2.942	4.171	4.171	4.171
James Chester	Wales	23/01/1989	27	West Brom	ENG	14	177	75	Defender	4	None	None	None	None	None	None	0	0	1	0	3	2	0	0	West Bromwich Albion FC	52.5120994	-1.9796204759995817	None	None	None	None	None	None	None
Olexandr Karavaev	Ukraine	02/06/1992	24	Zorya	UKR	3	173	65	Midfield	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Zorya Luhansk	50.93433849700051	26.0266362	FC Zorya Luhansk	1.550	1.900	1.566	3.500	3.500	3.500
Pepe	Portugal	26/02/1983	33	Real Madrid	ESP	73	188	81	Defender	4	None	None	None	None	None	None	1	2	0	0	4	7	1	0	Real Madrid CF	40.42492708000049	-3.678367150999577	Real Madrid CF	36.171	29.542	39.600	33.042	33.042	33.042
Sergio Busquets	Spain	16/07/1988	27	Barcelona	ESP	86	189	76	Midfield	4	None	None	None	None	None	None	0	1	0	0	3	7	1	0	FC Barcelona	41.3813544	2.1203177860004416	FC Barcelona	34.171	27.542	28.600	38.042	38.042	38.042
Ján Novota	Slovakia	29/11/1983	32	Rapid Wien	AUT	3	197	90	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	SK Rapid Wien	48.2081743	16.3738189	SK Rapid Wien	1.425	2.450	6.560	2.325	2.325	2.325
Taulant Xhaka	Albania	28/03/1991	25	Basel	SUI	13	172	72	Midfield	2	None	None	None	None	None	None	0	1	0	0	None	None	None	None	FC Basel 1893	47.5595986	7.5885761	FC Basel 1893	20.200	17.675	20.440	16.380	16.380	16.380
Tin Jedvaj	Croatia	28/11/1995	20	Leverkusen	GER	4	184	80	Defender	1	None	None	None	None	None	None	1	0	0	0	None	None	None	None	Bayer 04 Leverkusen	51.03319008200049	6.984318665000444	Bayer 04 Leverkusen	19.050	12.585	18.942	21.171	21.171	21.171
Adrian Popa	Romania	24/07/1988	27	Steaua	ROU	16	169	71	Midfield	2	None	None	None	None	None	None	0	0	0	0	2	0	1	0	FC Steaua Bucureşti	44.42120380000001	24.3843233	FC Steaua Bucureşti	6.866	13.360	8.375	6.025	6.025	6.025
Shani Tarashaj	Switzerland	07/02/1995	21	Grasshoppers	SUI	5	176	77	Forward	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Grasshopper Club Zürich	47.3768866	8.541694	Grasshopper Club Zürich	1.200	1.675	2.940	2.880	2.880	2.880
James McCarthy	Republic of Ireland	12/11/1990	25	Everton	ENG	37	180	72	Midfield	4	None	None	None	None	None	None	0	0	0	0	9	3	1	0	Everton FC	53.4294901340005	-2.966368	Everton FC	3.050	3.285	3.357	16.714	16.714	16.714
Ciprian Tătăruşanu	Romania	09/02/1986	30	Fiorentina	ITA	40	195	88	Goalkeeper	3	None	None	None	None	None	None	0	0	0	0	None	None	None	None	ACF Fiorentina	42.96402994300047	10.536040042000423	ACF Fiorentina	2.271	2.883	17.833	23.800	23.800	23.800
Łukasz Fabiański	Poland	18/04/1985	31	Swansea	ENG	32	190	83	Goalkeeper	3	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Swansea City AFC	51.62144	-3.9432271479995507	Swansea City AFC	3.050	3.285	10.357	2.714	2.714	2.714
Michał Pazdan	Poland	21/09/1987	28	Legia	POL	18	181	78	Defender	4	None	None	None	None	None	None	0	2	0	0	5	0	1	0	Legia Warszawa	52.22154827300051	21.0424143	Legia Warszawa	8.325	2.000	2.625	10.950	10.950	10.950
Mikael Lustig	Sweden	13/12/1986	29	Celtic	SCO	53	189	78	Defender	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Celtic FC	57.478435	-4.2212204	Celtic FC	5.550	16.860	6.650	7.800	7.800	7.800
Laurent Ciman	Belgium	05/08/1985	30	Montreal	CAN	12	184	70	Defender	1	None	None	None	None	None	None	0	0	1	0	None	None	None	None	Montreal Impact	45.50883694400045	-73.567256	None	None	None	None	None	None	None
Kyle Lafferty	Northern Ireland	16/09/1987	28	Birmingham	ENG	53	193	88	Forward	3	None	None	None	None	None	None	0	2	0	0	9	6	0	0	Birmingham City FC	52.48624299999999	-1.890401	Birmingham City FC	10.050	3.285	3.357	2.714	2.714	2.714
Alban Hoxha	Albania	23/11/1987	28	Partizani	ALB	1	188	79	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FK Partizani Tirana	40.7279595	19.93332809700047	FK Partizani	0.175	0.150	0.400	0.175	0.175	0.175
Jiří Skalák	Czech Republic	12/03/1992	24	Brighton	ENG	11	177	76	Midfield	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Brighton & Hove Albion FC	50.86070549999999	-0.137163	None	None	None	None	None	None	None
Denis Glushakov	Russia	27/01/1987	29	Spartak Moskva	RUS	46	182	80	Midfield	3	145	1	0	None	None	None	1	3	0	0	6	0	0	0	FC Spartak Moskva	55.7310552	37.5649667	FC Spartak Moskva	3.450	7.950	3.583	1.933	1.933	1.933
Lukas Podolski	Germany	04/06/1985	31	Galatasaray	TUR	128	182	83	Forward	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Galatasaray AŞ	41.103203	28.991243	Galatasaray AŞ	1.020	24.040	16.340	6.200	6.200	6.200
Andriy Yarmolenko	Ukraine	23/10/1989	26	Dynamo Kyiv	UKR	62	189	81	Midfield	3	None	None	None	None	None	None	3	1	2	0	2	6	0	0	FC Dynamo Kyiv	50.32	30.564428	FC Dynamo Kyiv	7.550	10.900	9.566	18.000	18.000	18.000
Oleg Ivanov	Russia	04/08/1986	29	Terek	RUS	5	192	87	Midfield	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Terek Grozny	43.48332818400047	44.1393572	None	None	None	None	None	None	None
Šime Vrsaljko	Croatia	10/01/1992	24	Sassuolo	ITA	21	183	75	Defender	2	None	None	None	None	None	None	0	0	0	0	1	1	1	0	US Sassuolo Calcio	44.54433	10.7847741	None	None	None	None	None	None	None
Jonathan Williams	Wales	09/10/1993	22	Crystal Palace	ENG	14	168	60	Midfield	3	None	None	None	None	None	None	0	1	0	0	2	4	0	0	Crystal Palace FC	51.4003895	-0.07853809199957595	None	None	None	None	None	None	None
Thibaut Courtois	Belgium	11/05/1992	24	Chelsea	ENG	39	199	91	Goalkeeper	4	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Chelsea FC	51.480877998000494	-0.18943975099955424	Chelsea FC	33.050	30.285	28.357	23.714	23.714	23.714
Angelo Ogbonna	Italy	23/05/1988	28	West Ham	ENG	11	191	86	Defender	1	None	None	None	None	None	None	0	0	0	0	3	2	0	0	West Ham United FC	51.57045970000001	0.14751	West Ham United FC	3.050	3.285	3.357	2.714	2.714	2.714
Hakan Balta	Turkey	23/03/1983	33	Galatasaray	TUR	49	184	80	Defender	3	None	None	None	None	None	None	0	1	0	0	3	3	2	0	Galatasaray AŞ	41.103203	28.991243	Galatasaray AŞ	1.020	24.040	16.340	6.200	6.200	6.200
Ragnar Sigurdsson	Iceland	19/06/1986	30	Krasnodar	RUS	58	187	77	Defender	4	360	1	0	None	None	None	2	0	0	0	1	5	0	0	FC Krasnodar	45.03926740000001	38.97485574200044	FC Krasnodar	1.950	1.950	2.083	6.933	6.933	6.933
Mihály Korhut	Hungary	01/12/1988	27	Debrecen	HUN	5	181	76	Defender	1	None	None	None	None	None	None	0	0	0	0	2	0	0	0	Debreceni VSC	47.5333287950005	21.633326743000453	Debreceni VSC	0.450	2.100	0.675	1.925	1.925	1.925
Pedro Rodríguez	Spain	28/07/1987	28	Chelsea	ENG	58	167	62	Forward	2	None	None	None	None	None	None	0	1	0	0	None	None	None	None	Chelsea FC	51.480877998000494	-0.18943975099955424	Chelsea FC	33.050	30.285	28.357	23.714	23.714	23.714
Richárd Guzmics	Hungary	16/04/1987	29	Wisła	POL	16	190	80	Defender	4	None	None	None	None	None	None	0	0	0	0	3	1	1	0	Wisła Kraków	50.43713890000001	23.40691878800044	Wisła Kraków	9.325	0.500	0.625	0.950	0.950	0.950
Gareth Bale	Wales	16/07/1989	26	Real Madrid	ESP	58	183	74	Forward	4	353	3	1	None	None	None	12	4	2	0	3	7	0	0	Real Madrid CF	40.42492708000049	-3.678367150999577	Real Madrid CF	36.171	29.542	39.600	33.042	33.042	33.042
Florin Andone	Romania	11/04/1993	23	Córdoba	ESP	9	182	78	Forward	3	None	None	None	None	None	None	0	3	0	1	3	1	0	0	Córdoba CF	37.8881751	-4.766667577999556	None	None	None	None	None	None	None
Bartosz Kapustka	Poland	23/12/1996	19			10	179	60	Midfield	3	None	None	None	None	None	None	1	2	1	0	5	2	2	0	KS Cracovia	50.0284188	19.9726595	None	None	None	None	None	None	None
Martin Hinteregger	Austria	07/09/1992	23	Mönchengladbach	GER	16	184	78	Defender	3	None	None	None	None	None	None	0	2	4	0	4	1	1	0	VfL Borussia Mönchengladbach	51.185389219000456	6.4428041	VfL Borussia Mönchengladbach	3.050	12.585	2.942	12.171	12.171	12.171
Valerică Găman	Romania	25/02/1989	27	Astra	ROU	14	188	72	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Astra Giurgiu	45.63917800000001	25.6269792	FC Astra Giurgiu	0.866	1.360	2.875	4.025	4.025	4.025
Valon Behrami	Switzerland	19/04/1985	31	Watford	ENG	69	185	78	Midfield	4	None	None	None	None	None	None	0	0	1	0	7	10	1	0	Watford FC	51.656489	-0.39032	None	None	None	None	None	None	None
Jean-François Gillet	Belgium	31/05/1979	37	Mechelen	BEL	9	181	82	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	KV Mechelen	51.0258791	4.477536499999999	None	None	None	None	None	None	None
Pavel Kadeřábek	Czech Republic	25/04/1992	24	Hoffenheim	GER	21	182	81	Defender	3	None	None	None	None	None	None	1	1	1	0	5	4	0	0	TSG 1899 Hoffenheim	49.27284710000001	8.841700090000415	None	None	None	None	None	None	None
Hal Robson-Kanu	Wales	21/05/1989	27	Reading	ENG	32	183	83	Forward	3	126	1	0	None	None	None	1	0	0	0	1	3	0	0	Reading FC	51.4375166	-0.9158363	None	None	None	None	None	None	None
Oscar Hiljemark	Sweden	28/06/1992	23	Palermo	ITA	9	184	75	Midfield	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	US Città di Palermo	38.11581748500049	13.3612671	US Città di Palermo	3.271	2.883	2.833	3.800	3.800	3.800
Breel Embolo	Switzerland	14/02/1997	19	Basel	SUI	13	185	84	Forward	4	None	None	None	None	None	None	0	2	3	0	7	7	1	0	FC Basel 1893	47.5595986	7.5885761	FC Basel 1893	20.200	17.675	20.440	16.380	16.380	16.380
David Silva	Spain	08/01/1986	30	Man. City	ENG	102	173	67	Midfield	4	None	None	None	None	None	None	1	3	4	0	5	5	1	0	Manchester City FC	53.4807593	-2.272817876999568	Manchester City FC	20.050	10.285	22.357	17.714	17.714	17.714
Stephan El Shaarawy	Italy	27/10/1992	23	Roma	ITA	19	178	72	Forward	1	None	None	None	None	None	None	1	0	0	0	None	None	None	None	AS Roma	41.8971715	12.4728221	AS Roma	3.771	2.883	2.833	15.800	15.800	15.800
Tomáš Necid	Czech Republic	13/08/1989	26	Bursaspor	TUR	42	190	81	Forward	3	169	1	0	None	None	None	3	1	0	0	4	6	0	0	Bursaspor	40.21297788800047	29.157478066000465	Bursaspor	2.520	3.540	2.340	1.700	1.700	1.700
Salvatore Sirigu	Italy	12/01/1987	29	Paris	FRA	16	192	80	Goalkeeper	1	None	None	None	None	None	None	0	0	0	0	0	1	1	0	Paris Saint-Germain	48.853408154000476	2.3337563460004276	Paris Saint-Germain	9.100	27.350	26.700	23.183	23.183	23.183
Marcelo Brozović	Croatia	16/11/1992	23	Internazionale	ITA	19	181	68	Midfield	3	None	None	None	None	None	None	1	7	1	0	8	5	1	0	FC Internazionale Milano	45.7924983	7.764657419000457	FC Internazionale Milano	20.271	16.883	2.833	15.800	15.800	15.800
Sergio Ramos	Spain	30/03/1986	30	Real Madrid	ESP	134	183	75	Defender	4	None	None	None	None	None	None	1	6	2	0	6	7	1	0	Real Madrid CF	40.42492708000049	-3.678367150999577	Real Madrid CF	36.171	29.542	39.600	33.042	33.042	33.042
Ádám Pintér	Hungary	12/06/1988	28	Ferencváros	HUN	21	190	76	Defender	3	None	None	None	None	None	None	1	1	0	0	None	None	None	None	Ferencvárosi TC	47.48583551000047	19.0819885	Ferencvárosi TC	0.950	0.600	0.175	0.925	0.925	0.925
Yevhen Khacheridi	Ukraine	28/07/1987	28	Dynamo Kyiv	UKR	45	198	85	Defender	3	None	None	None	None	None	None	1	0	0	0	3	2	0	0	FC Dynamo Kyiv	50.32	30.564428	FC Dynamo Kyiv	7.550	10.900	9.566	18.000	18.000	18.000
Armando Sadiku	Albania	27/05/1991	25	Vaduz	LIE	22	185	80	Forward	3	231	1	0	None	None	None	2	1	2	0	5	2	0	0	FC Vaduz	47.141508065000494	9.521640000000446	FC Vaduz	1.400	0.000	0.450	1.000	1.000	1.000
Victor Lindelöf	Sweden	17/07/1994	21	Benfica	POR	5	187	80	Defender	3	None	None	None	None	None	None	0	0	0	0	1	2	1	0	SL Benfica	38.75205652700049	-9.18322816199958	SL Benfica	23.366	28.350	30.983	9.816	9.816	9.816
Oliver Norwood	Northern Ireland	12/04/1991	25	Reading	ENG	37	180	76	Midfield	4	None	None	None	None	None	None	2	0	0	0	7	6	0	0	Reading FC	51.4375166	-0.9158363	None	None	None	None	None	None	None
Mërgim Mavraj	Albania	09/06/1986	30	Köln	GER	29	189	84	Defender	3	None	None	None	None	None	None	0	3	0	0	1	1	1	0	1. FC Köln	50.93332608700047	6.876264700000001	None	None	None	None	None	None	None
Bacary Sagna	France	14/02/1983	33	Man. City	ENG	60	176	72	Defender	4	None	None	None	None	None	None	0	1	0	0	None	None	None	None	Manchester City FC	53.4807593	-2.272817876999568	Manchester City FC	20.050	10.285	22.357	17.714	17.714	17.714
Kingsley Coman	France	13/06/1996	20	Bayern	GER	8	178	71	Midfield	4	None	None	None	None	None	None	0	2	1	0	1	8	0	0	FC Bayern München	48.1326687	11.499996453000449	FC Bayern München	33.050	36.585	29.942	31.171	31.171	31.171
Alexandru Chipciu	Romania	18/05/1989	27	Steaua	ROU	24	177	74	Midfield	2	None	None	None	None	None	None	0	1	1	0	2	1	1	0	FC Steaua Bucureşti	44.42120380000001	24.3843233	FC Steaua Bucureşti	6.866	13.360	8.375	6.025	6.025	6.025
Darijo Srna	Croatia	01/05/1982	34	Shakhtar Donetsk	UKR	132	178	78	Defender	4	None	None	None	None	None	None	0	3	1	1	3	15	1	0	FC Shakhtar Donetsk	47.971263	37.80285	FC Shakhtar Donetsk	9.550	18.900	12.566	19.000	19.000	19.000
Federico Marchetti	Italy	07/02/1983	33	Lazio	ITA	11	188	73	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	SS Lazio	41.92843716100049	12.4851941	SS Lazio	9.271	20.883	12.833	3.800	3.800	3.800
László Kleinheisler	Hungary	08/04/1994	22	Bremen	GER	7	173	70	Midfield	2	None	None	None	None	None	None	2	4	1	0	4	7	1	0	SV Werder Bremen	53.07929619999999	8.807768356000452	None	None	None	None	None	None	None
Ermir Lenjani	Albania	05/08/1989	26	Nantes	FRA	21	175	65	Midfield	3	None	None	None	None	None	None	0	1	3	0	4	3	0	0	FC Nantes	47.218371	-1.5533587199995509	None	None	None	None	None	None	None
Joe Hart	England	19/04/1987	29	Man. City	ENG	62	196	89	Goalkeeper	4	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Manchester City FC	53.4807593	-2.272817876999568	Manchester City FC	20.050	10.285	22.357	17.714	17.714	17.714
Denys Garmash	Ukraine	19/04/1990	26	Dynamo Kyiv	UKR	28	186	72	Midfield	1	None	None	None	None	None	None	0	0	0	0	1	0	0	0	FC Dynamo Kyiv	50.32	30.564428	FC Dynamo Kyiv	7.550	10.900	9.566	18.000	18.000	18.000
Axel Witsel	Belgium	12/01/1989	27	Zenit	RUS	70	186	73	Midfield	4	360	1	0	None	None	None	3	3	3	0	3	8	1	0	FC Zenit	60.00394350000001	30.398305957000446	FC Zenit	19.950	14.950	18.083	18.933	18.933	18.933
Cenk Tosun	Turkey	07/06/1991	25	Beşiktaş	TUR	11	183	78	Forward	2	None	None	None	None	None	None	0	1	0	0	6	1	1	0	Beşiktaş JK	41.04540851900049	29.005740195000442	Beşiktaş JK	11.020	2.040	1.340	12.200	12.200	12.200
Simon Church	Wales	10/12/1988	27	MK Dons	ENG	37	183	84	Forward	1	None	None	None	None	None	None	0	0	0	0	1	0	0	0	Milton Keynes Dons FC	52.009257111000466	-0.7352188199995453	None	None	None	None	None	None	None
Aaron Ramsey	Wales	26/12/1990	25	Arsenal	ENG	42	178	76	Midfield	4	358	1	2	None	None	None	5	1	4	0	5	8	1	0	Arsenal FC	51.5540370060005	-0.105505	Arsenal FC	22.050	21.285	21.357	22.714	22.714	22.714
Rúnar Már Sigurjónsson	Iceland	18/06/1990	26	Sundsvall	SWE	11	178	78	Midfield	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	GIF Sundsvall	62.39128933100051	17.306927	None	None	None	None	None	None	None
Sam Vokes	Wales	21/10/1989	26	Burnley	ENG	41	186	90	Forward	2	None	None	None	None	None	None	2	4	0	0	1	0	1	0	Burnley FC	53.78874339999999	-2.2328754	None	None	None	None	None	None	None
Sebastian Prödl	Austria	21/06/1987	29	Watford	ENG	58	194	85	Defender	2	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Watford FC	51.656489	-0.39032	None	None	None	None	None	None	None
Milan Škoda	Czech Republic	16/01/1986	30	Slavia Praha	CZE	11	190	86	Forward	2	56	1	0	None	None	None	2	0	0	0	2	0	0	0	SK Slavia Praha	50.069527	14.4781514	None	None	None	None	None	None	None
Lucas Digne	France	20/07/1993	22	Roma	ITA	13	178	74	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	AS Roma	41.8971715	12.4728221	AS Roma	3.771	2.883	2.833	15.800	15.800	15.800
Conor McLaughlin	Northern Ireland	26/07/1991	24	Fleetwood	ENG	19	183	71	Defender	1	None	None	None	None	None	None	0	0	0	0	1	0	0	0	Fleetwood Town FC	53.9167458440005	-3.0331064099995615	None	None	None	None	None	None	None
Pylyp Budkivskiy	Ukraine	10/03/1992	24	Zorya	UKR	6	196	81	Forward	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Zorya Luhansk	50.93433849700051	26.0266362	FC Zorya Luhansk	1.550	1.900	1.566	3.500	3.500	3.500
Koke	Spain	08/01/1992	24	Atlético	ESP	23	178	74	Midfield	1	None	None	None	None	None	None	0	0	0	0	1	1	0	0	Club Atlético de Madrid	40.4206094	-3.721263	Club Atlético de Madrid	34.171	13.542	37.600	26.042	26.042	26.042
Gylfi Sigurdsson	Iceland	08/09/1989	26	Swansea	ENG	41	186	77	Midfield	4	360	1	0	None	None	None	5	1	3	0	5	4	1	0	Swansea City AFC	51.62144	-3.9432271479995507	Swansea City AFC	3.050	3.285	10.357	2.714	2.714	2.714
Jakob Jantscher	Austria	08/01/1989	27	Luzern	SUI	22	181	69	Midfield	1	None	None	None	None	None	None	0	0	0	0	1	0	0	0	FC Luzern	47.05047664200049	8.306346351000457	FC Luzern	1.200	3.175	1.440	1.880	1.880	1.880
Lovre Kalinić	Croatia	03/04/1990	26	Hajduk Split	CRO	4	201	96	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	HNK Hajduk Split	43.52043639100049	16.430298949000473	HNK Hajduk Split	1.750	1.875	1.875	2.875	2.875	2.875
Emanuele Giaccherini	Italy	05/05/1985	31	Bologna	ITA	27	167	60	Midfield	3	270	1	1	None	None	None	2	0	1	0	4	1	0	0	Bologna FC 1909	44.4946457	11.3144803	None	None	None	None	None	None	None
Alan Mannus	Northern Ireland	19/05/1982	34	St Johnstone	SCO	8	188	84	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	St Johnstone FC	56.4074386	-3.4759498	None	None	None	None	None	None	None
Yevhen Konoplyanka	Ukraine	29/09/1989	26	Sevilla	ESP	56	176	69	Midfield	3	None	None	None	None	None	None	2	5	6	0	6	10	1	0	Sevilla FC	37.3890924	-5.976128752999557	Sevilla FC	5.671	3.542	26.600	32.042	32.042	32.042
Costel Pantilimon	Romania	01/02/1987	29	Watford	ENG	21	203	96	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Watford FC	51.656489	-0.39032	None	None	None	None	None	None	None
Mykyta Shevchenko	Ukraine	26/01/1993	23	Zorya	UKR	0	187	80	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Zorya Luhansk	50.93433849700051	26.0266362	FC Zorya Luhansk	1.550	1.900	1.566	3.500	3.500	3.500
Duje Čop	Croatia	01/02/1990	26	Málaga	ESP	5	184	73	Forward	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Málaga CF	36.721261	-4.42033780999958	Málaga CF	4.171	25.542	4.600	4.042	4.042	4.042
Ingvar Jónsson	Iceland	18/10/1989	26	Sandefjord	NOR	5	188	82	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Sandefjord Fotball	59.1313095	10.21664733500046	None	None	None	None	None	None	None
Michal Kadlec	Czech Republic	13/12/1984	31	Fenerbahçe	TUR	65	185	76	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Fenerbahçe SK	40.97428620000001	29.0430833	Fenerbahçe SK	1.020	24.040	1.340	1.200	1.200	1.200
Dániel Böde	Hungary	24/10/1986	29	Ferencváros	HUN	13	185	77	Forward	2	None	None	None	None	None	None	1	0	0	0	1	0	0	0	Ferencvárosi TC	47.48583551000047	19.0819885	Ferencvárosi TC	0.950	0.600	0.175	0.925	0.925	0.925
Frédéric Veseli	Albania	20/11/1992	23	Lugano	SUI	3	183	80	Defender	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Lugano	46.0036778	8.951269992000448	None	None	None	None	None	None	None
João Moutinho	Portugal	08/09/1986	29	Monaco	FRA	86	171	61	Midfield	3	None	None	None	None	None	None	1	1	1	0	4	3	0	0	AS Monaco FC	43.73741099999999	7.420815999999999	AS Monaco FC	2.100	2.350	1.700	23.183	23.183	23.183
Denis Zakaria	Switzerland	20/11/1996	19	Young Boys	SUI	2	191	76	Midfield	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	BSC Young Boys	46.96086	7.46505	BSC Young Boys	2.700	8.675	1.440	9.380	9.380	9.380
Yann Sommer	Switzerland	17/12/1988	27	Mönchengladbach	GER	21	183	79	Goalkeeper	4	None	None	None	None	None	None	0	0	0	0	None	None	None	None	VfL Borussia Mönchengladbach	51.185389219000456	6.4428041	VfL Borussia Mönchengladbach	3.050	12.585	2.942	12.171	12.171	12.171
Romelu Lukaku	Belgium	13/05/1993	23	Everton	ENG	47	190	93	Forward	4	319	2	0	None	None	None	5	5	0	0	6	3	0	0	Everton FC	53.4294901340005	-2.966368	Everton FC	3.050	3.285	3.357	16.714	16.714	16.714
Wayne Rooney	England	24/10/1985	30	Man. United	ENG	114	176	83	Forward	4	290	1	0	None	None	None	4	5	2	0	2	2	0	0	Manchester United FC	53.4630484	-2.2951326	Manchester United FC	16.050	21.285	26.357	2.714	2.714	2.714
Shkodran Mustafi	Germany	17/04/1992	24	Valencia	ESP	11	184	82	Defender	1	90	1	0	None	None	None	1	0	0	0	3	1	0	0	Valencia CF	39.4699075	-0.37738807299956534	Valencia CF	25.171	22.542	26.600	4.042	4.042	4.042
Oscar Lewicki	Sweden	14/07/1992	23	Malmö	SWE	11	171	68	Midfield	2	None	None	None	None	None	None	0	0	0	0	1	0	0	0	Malmö FF	55.60586895500052	13.003822	Malmö FF	2.580	1.025	1.640	6.780	6.780	6.780
Artur Jędrzejczyk	Poland	04/11/1987	28	Legia	POL	21	189	78	Defender	4	None	None	None	None	None	None	0	0	0	0	4	4	1	0	Legia Warszawa	52.22154827300051	21.0424143	Legia Warszawa	8.325	2.000	2.625	10.950	10.950	10.950
Bartosz Salamon	Poland	01/05/1991	25	Cagliari	ITA	8	196	89	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Cagliari Calcio	39.2132322	9.134619352000414	None	None	None	None	None	None	None
Craig Cathcart	Northern Ireland	06/02/1989	27	Watford	ENG	31	188	73	Defender	4	None	None	None	None	None	None	0	1	0	0	4	1	1	0	Watford FC	51.656489	-0.39032	None	None	None	None	None	None	None
Domagoj Vida	Croatia	29/04/1989	27	Dynamo Kyiv	UKR	40	184	73	Defender	3	None	None	None	None	None	None	0	6	0	0	4	4	1	0	FC Dynamo Kyiv	50.32	30.564428	FC Dynamo Kyiv	7.550	10.900	9.566	18.000	18.000	18.000
Sverrir Ingason	Iceland	05/08/1993	22	Lokeren	BEL	6	188	83	Defender	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	KSC Lokeren OV	51.1036359740005	3.9940663	KSC Lokeren OV	2.020	2.800	1.280	8.920	8.920	8.920
Moussa Sissoko	France	16/08/1989	26	Newcastle	ENG	40	187	83	Midfield	3	None	None	None	None	None	None	0	1	0	0	1	1	0	0	Newcastle United FC	54.9753395	-1.6187730739995914	Newcastle United FC	3.050	18.285	3.357	2.714	2.714	2.714
Naser Aliji	Albania	27/12/1993	22	Basel	SUI	4	177	73	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Basel 1893	47.5595986	7.5885761	FC Basel 1893	20.200	17.675	20.440	16.380	16.380	16.380
Bruno Soriano	Spain	12/06/1984	32	Villarreal	ESP	10	184	73	Midfield	2	None	None	None	None	None	None	1	1	0	0	None	None	None	None	Villarreal CF	39.9397706	-0.1005932	Villarreal CF	8.171	3.542	4.600	16.042	16.042	16.042
Marc Janko	Austria	25/06/1983	32	Basel	SUI	55	196	93	Forward	2	None	None	None	None	None	None	0	4	0	0	2	0	1	0	FC Basel 1893	47.5595986	7.5885761	FC Basel 1893	20.200	17.675	20.440	16.380	16.380	16.380
Thomas Meunier	Belgium	12/09/1991	24	Club Brugge	BEL	6	190	78	Defender	3	None	None	None	None	None	None	0	3	0	0	3	1	1	0	Club Brugge KV	51.19510529999999	3.1792763160004256	Club Brugge KV	10.020	4.300	2.280	20.920	20.920	20.920
Josh Magennis	Northern Ireland	15/08/1990	25	Kilmarnock	SCO	21	188	92	Midfield	3	None	None	None	None	None	None	0	0	0	0	2	0	0	0	Kilmarnock FC	55.6089042	-4.49863986199955	None	None	None	None	None	None	None
